epoch,time,tr_loss,tr_accu,vl_loss,vl_accu,model,tuning_version,dataname,vl_ratio,ts_ratio,shuffle,normalize,i_stt,i_end,X_length,y_length,y_offset,stride_length,criterion,metrics,optimizer,learning_rate,momentum,weight_decay,scheduler,idx,constant,epochs,on,patience,delta,verbose,T_0,T_mult,eta_max,T_up,gamma
69,46.06005716,0.036538793,0.593410326,0.32197166,0.602083333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
70,46.70452404,0.035462015,0.597826087,0.311753991,0.567708333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
71,47.34859467,0.027785397,0.597826087,0.300994853,0.563541667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
72,47.99308538,0.023320755,0.6015625,0.304326027,0.566666667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
73,48.63752937,0.020112552,0.586956522,0.31483845,0.558333333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
74,49.28302336,0.022595872,0.590692935,0.316546559,0.547916667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
75,49.92800403,0.021015948,0.581182065,0.316985186,0.533333333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
76,50.57894516,0.01824342,0.574048913,0.340935836,0.508333333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
77,51.22471023,0.024937729,0.580842391,0.347863757,0.575,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
78,51.86918688,0.022680622,0.587975543,0.340413917,0.5375,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
